2025-05-17|LEVEL-0|NEON_LIGHT_FLICKER
2025-05-17|LEVEL-0|VENT_NOISE
2025-05-18|LEVEL-1|DISTANT_WHISPER
2025-05-19|LEVEL-0|TIMER_EXPIRED
2025-05-19|LEVEL-2|SYSTEM_RESET
2025-05-17|LEVEL-0|OVERHEATING_WARNING
2025-05-18|LEVEL-1|USER_LOGIN
2025-05-17|LEVEL-2|VENT_NOISE
2025-05-18|LEVEL-2|LOW_BATTERY
2025-05-18|LEVEL-2|SYSTEM_RESET
2025-05-18|LEVEL-1|USER_LOGIN
2025-05-19|LEVEL-2|NEON_LIGHT_FLICKER
2025-05-17|LEVEL-2|SYSTEM_RESET
2025-05-17|LEVEL-1|OVERHEATING_WARNING
2025-05-18|LEVEL-2|DOOR_JAMMED
2025-05-17|LEVEL-2|POWER_SURGE
2025-05-19|LEVEL-0|CAMERA_DISCONNECTED
2025-05-17|LEVEL-1|CAMERA_DISCONNECTED
2025-05-19|LEVEL-2|USER_LOGOUT
2025-05-18|LEVEL-0|MOTOR_FAIL
2025-05-18|LEVEL-1|OVERHEATING_WARNING
2025-05-18|LEVEL-2|ALARM_TRIGGERED
2025-05-19|LEVEL-2|TIMER_EXPIRED
2025-05-17|LEVEL-0|ALARM_TRIGGERED
2025-05-18|LEVEL-2|NETWORK_DISRUPTION
2025-05-17|LEVEL-2|CAMERA_DISCONNECTED
2025-05-19|LEVEL-2|POWER_SURGE
2025-05-18|LEVEL-2|LOW_BATTERY
2025-05-19|LEVEL-1|TIMER_EXPIRED
2025-05-19|LEVEL-1|MOTOR_FAIL
2025-05-17|LEVEL-0|USER_LOGIN
2025-05-17|LEVEL-0|OVERHEATING_WARNING
2025-05-18|LEVEL-1|ALARM_TRIGGERED
2025-05-17|LEVEL-0|ALARM_TRIGGERED
2025-05-19|LEVEL-0|MOTOR_FAIL
2025-05-17|LEVEL-2|TIMER_EXPIRED
2025-05-19|LEVEL-0|LOW_BATTERY
2025-05-17|LEVEL-0|NEON_LIGHT_FLICKER
2025-05-17|LEVEL-2|MOTOR_FAIL
